[681, 'ENSMUSG00000026197.5']
[682, 'ENSMUSG00000026198.9']
[683, 'ENSMUSG00000033124.8']
[684, 'ENSMUSG00000026199.10']
[685, 'ENSMUSG00000026200.7']
[686, 'ENSMUSG00000026201.6']
[687, 'ENSMUSG00000026202.7']
[688, 'ENSMUSG00000026203.9']
[689, 'ENSMUSG00000026204.8']
[690, 'ENSMUSG00000033061.8']
[691, 'ENSMUSG00000026209.8']
[692, 'ENSMUSG00000026208.9']
[693, 'ENSMUSG00000085653.1']
[694, 'ENSMUSG00000026207.9']
[695, 'ENSMUSG00000086053.1']
[696, 'ENSMUSG00000033021.10']
[697, 'ENSMUSG00000033007.9']
[698, 'ENSMUSG00000032997.10']
